iter	RMSE
0	75669.73368
1	74291.86586
2	72822.97582
3	71329.1731
4	69975.16251
5	68649.2144
6	67346.14892
7	66081.75574
8	64867.99798
9	63645.97276
10	62580.49036
11	61462.20773
12	60391.5062
13	59348.75684
14	58324.62316
15	57351.14069
16	56408.11997
17	55443.74007
18	54542.09661
19	53635.66167
20	52811.96484
21	51963.16396
22	51219.49521
23	50457.79809
24	49656.18569
25	48935.58268
26	48189.35514
27	47508.88845
28	46907.92328
29	46231.10109
30	45609.6095
31	44942.20848
32	44346.36439
33	43784.43098
34	43209.69106
35	42628.39734
36	42139.20502
37	41565.1849
38	41030.50098
39	40550.7326
40	40113.61314
41	39682.38444
42	39220.76482
43	38791.14461
44	38366.40257
45	37923.1941
46	37523.7466
47	37140.02347
48	36803.77489
49	36453.24164
50	36152.05073
51	35864.5852
52	35510.89626
53	35169.65309
54	34867.52225
55	34540.82794
56	34243.41304
57	33907.78555
58	33651.51768
59	33383.21825
60	33127.1857
61	32844.99339
62	32579.52982
63	32351.33536
64	32145.50454
65	31891.04232
66	31653.15518
67	31414.45648
68	31201.18884
69	30983.6151
70	30777.70104
71	30557.70116
72	30345.08609
73	30091.2807
74	29850.29132
75	29633.17125
76	29475.66765
77	29320.25378
78	29147.14202
79	28983.26043
80	28794.64982
81	28617.54957
82	28475.24205
83	28288.87977
84	28142.32257
85	28011
86	27855.70545
87	27706.19763
88	27522.0887
89	27361.7529
90	27226.09212
91	27080.99995
92	26949.20069
93	26830.23053
94	26743.14724
95	26592.87262
96	26470.11186
97	26320.86081
98	26204.5252
99	26071.65158
100	25918.65714
101	25809.1914
102	25675.33803
103	25557.97977
104	25433.54356
105	25333.64291
106	25234.85414
107	25104.80417
108	25030.30269
109	24924.8071
110	24855.56857
111	24750.51365
112	24659.86293
113	24561.06544
114	24462.18864
115	24382.60297
116	24278.40443
117	24200.68146
118	24117.47955
119	24015.81896
120	23926.13879
121	23878.25729
122	23808.42262
123	23721.3692
124	23609.70757
125	23540.47129
126	23441.98605
127	23365.82472
128	23300.45018
129	23231.77812
130	23175.37016
131	23143.65427
132	23067.227
133	22992.7664
134	22933.15632
135	22868.74949
136	22811.81609
137	22756.48815
138	22694.19897
139	22590.62348
140	22509.4682
141	22439.79559
142	22397.59673
143	22345.0365
144	22289.003
145	22223.15607
146	22173.89847
147	22127.3857
148	22068.79448
149	22005.95426
150	21987.43552
151	21938.57619
152	21870.61037
153	21800.96668
154	21733.02588
155	21676.52145
156	21610.27481
157	21569.39575
158	21519.01776
159	21467.06711
160	21413.0324
161	21358.48708
162	21301.87245
163	21261.31716
164	21216.65906
165	21161.66294
166	21146.19463
167	21091.61408
168	21014.30332
169	20964.09286
170	20915.51853
171	20862.69687
172	20808.53017
173	20782.68857
174	20740.26067
175	20698.50254
176	20650.94711
177	20596.28296
178	20567.06327
179	20537.63456
180	20496.2427
181	20450.4407
182	20422.29534
183	20356.61944
184	20313.20415
185	20274.54737
186	20210.27625
187	20157.00368
188	20132.06863
189	20079.79613
190	20025.83791
191	20008.38061
192	19968.83018
193	19911.79628
194	19891.19809
195	19867.8531
196	19821.31075
197	19787.63268
198	19739.64403
199	19694.70921
200	19665.4597
201	19633.82336
202	19584.68515
203	19554.7411
204	19502.6489
205	19473.49192
206	19425.16158
207	19406.51118
208	19367.38238
209	19330.08204
210	19278.38785
211	19267.40569
212	19248.47725
213	19222.0023
214	19180.7174
215	19133.39165
216	19086.24011
217	19045.33114
218	19006.7876
219	18974.12098
220	18933.03959
221	18893.25666
222	18849.52737
223	18818.02594
224	18783.83343
225	18777.32926
226	18753.73605
227	18718.23013
228	18667.49282
229	18638.65377
230	18614.52331
231	18586.20882
232	18551.27558
233	18514.67181
234	18470.43515
235	18440.40713
236	18429.1719
237	18386.49317
238	18378.97396
239	18348.75818
240	18339.25787
241	18295.9854
242	18266.58402
243	18222.48473
244	18166.21348
245	18131.74602
246	18087.6906
247	18047.39079
248	18037.3242
249	18011.26687
250	17964.0268
251	17932.56041
252	17921.46101
253	17893.35719
254	17882.22022
255	17854.5055
256	17828.931
257	17807.88541
258	17765.08467
259	17723.21683
260	17705.47354
261	17662.34401
262	17628.08984
263	17605.41542
264	17568.04127
265	17532.10506
266	17489.75795
267	17458.76865
268	17421.05567
269	17391.46233
270	17359.46093
271	17323.7916
272	17300.55965
273	17281.20196
274	17249.51959
275	17218.60727
276	17189.73461
277	17154.00437
278	17129.33335
