iter	Passed	Remaining
0	176	211288
1	195	117170
2	212	84756
3	228	68458
4	244	58508
5	258	51492
6	273	46608
7	287	42841
8	299	39646
9	311	37062
10	323	34964
11	334	33107
12	346	31672
13	359	30416
14	371	29345
15	381	28222
16	391	27227
17	400	26323
18	410	25534
19	420	24818
20	430	24146
21	440	23581
22	449	23010
23	459	22515
24	469	22047
25	479	21664
26	489	21284
27	498	20873
28	509	20582
29	519	20267
30	529	19953
31	539	19703
32	549	19414
33	558	19167
34	568	18937
35	579	18752
36	590	18562
37	600	18348
38	609	18138
39	618	17948
40	628	17767
41	638	17600
42	648	17438
43	658	17287
44	668	17146
45	678	17013
46	688	16888
47	697	16736
48	707	16625
49	719	16538
50	728	16413
51	738	16301
52	748	16189
53	758	16107
54	769	16023
55	779	15932
56	790	15843
57	799	15751
58	809	15651
59	818	15560
60	828	15467
61	838	15388
62	847	15302
63	856	15207
64	867	15150
65	877	15074
66	888	15027
67	899	14975
68	909	14899
69	919	14847
70	929	14785
71	939	14711
72	949	14657
73	958	14590
74	969	14548
75	992	14680
76	1002	14620
77	1012	14565
78	1022	14512
79	1034	14478
80	1045	14445
81	1055	14385
82	1066	14351
83	1077	14309
84	1087	14261
85	1098	14225
86	1108	14182
87	1118	14136
88	1129	14100
89	1138	14041
90	1148	14002
91	1158	13949
92	1167	13898
93	1179	13874
94	1189	13830
95	1199	13791
96	1209	13749
97	1218	13700
98	1228	13662
99	1237	13616
100	1248	13580
101	1258	13546
102	1267	13501
103	1278	13469
104	1288	13432
105	1297	13393
106	1307	13359
107	1317	13323
108	1327	13286
109	1337	13251
110	1347	13216
111	1356	13179
112	1365	13137
113	1376	13109
114	1386	13078
115	1395	13042
116	1406	13018
117	1416	12987
118	1425	12946
119	1435	12921
120	1444	12881
121	1454	12850
122	1464	12820
123	1473	12788
124	1483	12761
125	1493	12729
126	1503	12706
127	1513	12678
128	1522	12642
129	1532	12616
130	1542	12584
131	1551	12554
132	1561	12523
133	1571	12504
134	1583	12489
135	1592	12462
136	1603	12442
137	1613	12418
138	1623	12391
139	1634	12373
140	1643	12344
141	1652	12312
142	1662	12288
